Date,TaiwanDate,TrainNo,MeanDelay,MaxDelay,ObservedStopCount_Actual,TrainType,Direction,TripLine,CoverageRate,ObservedStopCount,ScheduledStopCount,IsHoliday,HolidayType,Period,TerminalDelay,IsDelayed,IsDelayed_Research
2026-03-18,2026-03-18,193,0.375,1.0,8,自強,1,1,1.0,8,8,0,平日,離峰,1.0,0,0
2026-03-18,2026-03-18,194,0.0,0.0,8,自強,0,1,1.0,8,8,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,2003,0.09090909090909091,1.0,11,區間快,1,0,1.0,11,11,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2004,0.0,0.0,13,區間快,0,1,0.9286,13,14,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2005,0.3157894736842105,2.0,19,區間快,1,1,0.6786,19,28,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,2007,1.375,9.0,32,區間快,1,2,0.9412,32,34,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2008,0.32142857142857145,2.0,28,區間快,0,2,0.9333,28,30,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,2013,0.3333333333333333,2.0,30,區間快,1,2,1.0,30,30,0,平日,離峰,1.0,0,0
2026-03-18,2026-03-18,2016,0.0,0.0,6,區間快,0,1,1.0,6,6,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,2021,0.0,0.0,6,區間快,1,1,0.8571,6,7,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2023,1.3333333333333333,4.0,9,區間快,1,1,0.9,9,10,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2027,0.375,1.0,8,區間快,1,1,0.5714,8,14,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,203,0.8888888888888888,3.0,9,傾斜式自強,1,0,0.9,9,10,0,平日,尖峰,1.0,0,0
2026-03-18,2026-03-18,2033,0.16666666666666666,2.0,24,區間快,1,2,0.8571,24,28,0,平日,離峰,,0,0
2026-03-18,2026-03-18,2037,0.5555555555555556,3.0,18,區間快,1,1,0.6667,18,27,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,2042,0.782608695652174,4.0,23,區間快,0,1,0.6571,23,35,0,平日,尖峰,,0,0
2026-03-18,2026-03-18,2046,0.0,0.0,1,區間快,0,2,0.037,1,27,0,平日,離峰,,0,0
2026-03-18,2026-03-18,207,0.23076923076923078,1.0,13,自強,1,0,0.9286,13,14,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2101,0.125,1.0,8,區間,1,1,0.6154,8,13,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2103,1.0952380952380953,3.0,21,區間,1,1,0.4884,21,43,0,平日,深夜,1.0,0,0
2026-03-18,2026-03-18,211,0.3333333333333333,1.0,12,自強,1,0,1.0,12,12,0,平日,尖峰,1.0,0,0
2026-03-18,2026-03-18,2113,0.16,1.0,25,區間,1,1,0.5208,25,48,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,2114,0.2,2.0,30,區間,0,1,0.5172,30,58,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,2115,0.14285714285714285,1.0,7,區間,1,1,0.5,7,14,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2116,0.0,0.0,2,區間,0,1,0.2857,2,7,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,212,1.0,2.0,13,自強,0,0,0.9286,13,14,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2120,0.7777777777777778,3.0,18,區間,0,1,0.4615,18,39,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,2122,0.25,1.0,8,區間,0,1,0.5333,8,15,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2123,0.5,4.0,30,區間,1,1,0.625,30,48,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2124,0.6818181818181818,3.0,22,區間,0,1,0.4583,22,48,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,2128,0.1875,1.0,16,區間,0,1,0.4706,16,34,0,平日,深夜,1.0,0,0
2026-03-18,2026-03-18,2131,0.42857142857142855,1.0,7,區間,1,1,0.5,7,14,0,平日,尖峰,1.0,0,0
2026-03-18,2026-03-18,2133,2.175,11.0,40,區間,1,1,0.5405,40,74,0,平日,深夜,4.0,0,1
2026-03-18,2026-03-18,2134,0.3111111111111111,3.0,45,區間,0,1,0.6081,45,74,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,2138,0.15,1.0,20,區間,0,1,0.5405,20,37,0,平日,深夜,0.0,0,0
2026-03-18,2026-03-18,2143,0.43333333333333335,4.0,30,區間,1,1,0.625,30,48,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2144,0.13333333333333333,1.0,30,區間,0,1,0.625,30,48,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2146,0.0,0.0,4,區間,0,1,0.5714,4,7,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,215,0.23076923076923078,2.0,13,自強,1,0,1.0,13,13,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,2153,0.22916666666666666,2.0,48,區間,1,1,0.6486,48,74,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2154,0.2916666666666667,2.0,48,區間,0,1,0.6486,48,74,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2159,0.0,0.0,7,區間,1,1,0.5,7,14,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,2163,0.7666666666666667,3.0,30,區間,1,1,0.625,30,48,0,平日,離峰,2.0,0,0
2026-03-18,2026-03-18,2166,0.2857142857142857,1.0,7,區間,0,1,0.5,7,14,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,217,0.0,0.0,8,傾斜式自強,1,0,1.0,8,8,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,2173,0.3333333333333333,2.0,48,區間,1,1,0.6486,48,74,0,平日,尖峰,0.0,0,0
2026-03-18,2026-03-18,2174,0.4897959183673469,4.0,49,區間,0,1,0.6533,49,75,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,218,0.25,2.0,8,傾斜式自強,0,0,1.0,8,8,0,平日,離峰,0.0,0,0
2026-03-18,2026-03-18,2183,0.5384615384615384,2.0,26,區間,1,1,0.619,26,42,0,平日,離峰,1.0,0,0
